"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,Income,IncomePerCap,Poverty,ChildPoverty,Construction,Drive,Carpool,Transit,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count,Biomass,Small Hydro,Geothermal,Solar Thermal,Solar Photovoltaic ,Wind,Total
0.09,2.02,0.8,0.55,2.33,1,20357843,9714545,5362.5,6739.2,2567.2,24199,3284.5,897.4,23.4492396765714,51.085748510964,9.50321099391076,0.401291052473963,14.6032010115463,0.957308754533657,22910,91,21,70,1985,Sacramento ,15855,115,40,0,0,283,0,438
0.02,1.13,0.41,0.55,1.24,0,899843,342089,106.3,149.3,181.3,883.2,144.2,5.8,57.6944393127656,38.7770182893035,0.79438389063366,0.249399593571033,2.34620358396453,0.138555329761685,470,3,0,3,4354,San Benito ,718,0,0,0,0,393,0,393
0.03,1.73,0.48,0.55,1.77,1,21685399,8483673,6916.5,9142.4,3895.2,28803.8,4366.2,567.9,52.7980765748322,32.6372153796007,7.54493053214577,0.435166586338221,6.27481243540061,0.309798491682523,18820,90,21,69,90897,San Bernardino ,17279,0,95,0,1686,1520,7,3308
0.05,1.5,0.82,0.55,1.57,0,46825138,21819926,8353.2,9992.9,5040.9,47609.7,5552.8,2053,34.3993847476969,49.1836329656153,4.8500735987298,0.378082463655459,10.7958586242826,0.392967600019847,14272,193,48,145,65394,San Diego ,51616,160,16,0,0,342,556,1074
0.15,1.4,1.51,0.55,1.69,0,19234231,11755368,2406.5,2020.1,737.1,6702.3,1302.4,6649.3,15.8887828111088,44.2272829666499,5.83815152912908,0.165731632751574,33.4322002081032,0.44785085225749,1005,59,15,44,0,San Francisco ,16134,3,0,0,0,23,0,25
0.05,1.65,0.6,0.55,1.76,0,7777442,3254681,2691.4,3527.8,2122.2,10672,1995.5,201.6,45.0736050830015,34.6540486524378,6.91007800498158,0.247587513236983,12.6314376482169,0.483243098125196,8805,31,7,24,13351,San Joaquin ,5918,439,62,0,0,66,5,572
0.02,1.13,0.29,0.55,1.22,0,3479634,1822202,802.4,710.3,506.4,3784.8,502.6,75.2,22.5546315993038,70.5762908528331,2.85631405917617,0.419648037130149,3.50995938889963,0.0831560626571262,2915,87,4,83,98757,San Luis Obispo ,3964,11,13,0,0,2209,0,2234
0.06,0.96,0.53,0.55,1.02,1,17906235,8799359,1086.2,1258.9,890.1,10869.3,1552.3,1542.6,23.9753700192296,44.8103504881105,2.14339794571488,0.13199418421564,27.6705371560278,1.26835020670155,4730,53,8,45,153,San Mateo ,24890,87,0,0,0,0,0,87
0.03,1.19,0.37,0.55,1.36,0,6488298,3113717,1338.8,1496.9,1193.8,5950.3,1148,274.6,42.7474591895077,49.8290568371431,2.22051084584777,0.30571405234478,4.79574334021773,0.101515734938915,3382,52,2,50,362568,Santa Barbara ,5088,32,0,0,0,104,0,136
0.06,1.37,0.67,0.55,1.49,0,41966594,18419986,3258.8,3551.9,2414.4,27920,3889.3,1581.2,26.7613961206476,35.1227810857167,2.49299290226319,0.165939229986195,35.0982388130464,0.35865184833991,9410,147,25,122,7544,Santa Clara ,73092,14,0,0,0,48,0,62
0.04,1.2,0.44,0.55,1.25,1,3960458,2000776,739.2,773.1,561.1,3620,466.7,132.3,31.5060301006678,63.4964616764677,0.799362105053324,0.16545400179408,3.97488288647463,0.0578092295425097,1780,12,0,12,428,Santa Cruz ,5420,29,0,0,0,2,0,31
0.03,1.96,0.38,0.55,1.91,0,2384541,1299269,856.8,1144.4,510.7,3911.4,384.6,25.6,9.63748512065794,84.0168812899037,1.11243371929445,2.46510117952603,2.69884211665404,0.0692565739638567,10369,9,3,6,448527,Shasta ,734,710,320,0,0,14,252,1297
0.01,1.26,0.12,0.55,1.01,0,44190,31750,12.3,10.6,19.4,66.5,11.4,0,10.2851323828921,88.5947046843177,0.10183299389002,1.0183299389002,0,0,765,1,0,1,915,Sierra ,7,0,28,0,0,0,0,28
0.01,1.19,0.19,0.55,0.97,0,569996,330196,308.3,415.9,255.1,1009,155.2,10.4,15.4450261780105,78.2572924457741,1.30890052356021,3.28347045624533,1.42109199700823,0.284218399401645,4163,6,0,6,367914,Siskiyou ,98,49,323,0,0,0,0,371
0.04,1.31,0.48,0.55,1.37,1,6957367,3001680,1138.4,1552.7,1000.8,7126.7,1293.6,314.9,27.1502255169026,41.3042022060465,15.1375429821819,0.247845308801858,15.3161702317689,0.844013754298218,6860,43,8,35,61067,Solano ,5139,76,0,0,0,42,2390,2507
0.04,1.34,0.46,0.55,1.29,0,7325528,3865727,1048.7,1256.8,1024.8,7386.9,1050.4,180.6,25.3013564976552,69.024014100022,1.28096182293142,0.580157156495557,3.57116629423305,0.242344128662701,8280,64,2,62,197687,Sonoma ,9868,37,0,4744,0,23,0,4804
0.04,1.82,0.55,0.55,1.92,1,5061927,2213548,1713.8,2206,1477.1,7484.5,1067.9,77.7,46.7652455006116,44.8846758692993,2.52271535907741,0.443386335837847,4.86851301764809,0.515463917525773,7175,24,6,18,11283,Stanislaus ,2606,147,48,0,0,118,0,313
0.06,2.29,0.58,0.55,2.43,0,1194482,539239,342.7,459.4,366.5,1654.9,256.7,15.2,31.247825870894,52.6611340257417,1.78899766436416,0.725537941658798,13.2286438403817,0.347860656959698,1695,1,0,1,2850,Sutter ,364,0,0,0,0,4,0,4
0.02,2.04,0.3,0.55,1.92,0,483085,253917,221.9,300,155.8,889.1,106.3,2.8,24.4509104561667,71.6726112258307,0.591327201051248,1.68950628871785,1.56748639008823,0.0281584381452975,960,2,0,2,51975,Tehama ,143,0,43,0,0,12,2,57
0.01,1.28,0.1,0.55,1.01,0,171395,112669,110.5,134.4,58,343.4,49.6,0.2,7.12340247223968,85.6274879530694,0.775193798449612,4.1692855646344,1.75989943431804,0.544730777288917,1565,3,0,3,481048,Trinity ,47,0,23,0,0,0,0,23
0.03,2.36,0.45,0.55,2.39,0,3433906,1466595,2161,2700,1823.4,5963.6,1133,156.8,63.65473892859,31.1264409785614,1.52052579416827,0.727661572166293,2.80501799593135,0.165614730582651,4054,8,3,5,94255,Tulare ,1391,0,100,0,0,737,0,837
0.02,1.78,0.23,0.55,1.79,1,537231,326768,141.8,151.7,109,798.3,79,7.3,13.8813128938211,79.7987397724067,3.2916392363397,1.36367911219787,1.36367911219787,0.300949873036772,2162,9,0,9,299132,Tuolumne ,240,169,774,0,0,4,0,947
0.03,1.43,0.41,0.55,1.55,0,14640566,6352805,1788.1,2240.7,2040.9,13452.4,1955,215.5,41.5176341886846,49.5398225879331,1.72893528978097,0.324621275178958,6.72786510975291,0.16112154866941,2970,45,6,39,428304,Ventura ,13080,6,2,0,0,6,0,15
0.05,1.82,0.59,0.55,1.89,0,2719439,1315067,822.2,632.1,354.3,2705.6,459.8,164.4,31.6391847603441,51.446640721016,2.24293322408849,0.258603031544449,14.0464973371569,0.366140925850061,1975,47,7,40,108681,Yolo ,2948,204,45,0,0,21,2,272
0.04,2.28,0.45,0.55,2.37,1,662882,296670,299.5,390.8,210.4,1091.1,188.2,13.3,28.9248694862677,59.5823560565938,3.27608383142922,1.01384580464553,6.79428009381857,0.408564727245214,1605,4,3,1,11910,Yuba ,289,27,6,0,0,2,0,34
