"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,TotalPop,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count
0.15,1.4,1.51,0.55,1.69,0,864263,19234231,11755368,2406.5,2020.1,10483,3382,3799.6,737.1,1100,6702.3,1302.4,6649.3,2208.1,1328.2,1310,6401.2,504914,15637.9,2239.5,1595.7,26.7,1111.2,15.8887828111088,44.2272829666499,5.83815152912908,0.165731632751574,33.4322002081032,0.44785085225749,1005,59,15,44,0,San Francisco ,16134
0.05,1.65,0.6,0.55,1.76,0,724153,7777442,3254681,2691.4,3527.8,3444.8,2759.5,3180.9,2122.2,2393,10672,1995.5,201.6,258.6,237.4,535.2,4243.2,296264,11056.1,1945,878.4,20.5,1524.1,45.0736050830015,34.6540486524378,6.91007800498158,0.247587513236983,12.6314376482169,0.483243098125196,8805,31,7,24,13351,San Joaquin ,5918
0.02,1.13,0.29,0.55,1.22,0,280119,3479634,1822202,802.4,710.3,2092.9,1068.2,1110.6,506.4,422,3784.8,502.6,75.2,272.3,184.4,380.5,1096.5,129277,3586.3,1021,573.6,19,241.3,22.5546315993038,70.5762908528331,2.85631405917617,0.419648037130149,3.50995938889963,0.0831560626571262,2915,87,4,83,98757,San Luis Obispo ,3964
0.06,0.96,0.53,0.55,1.02,1,763450,17906235,8799359,1086.2,1258.9,7844.9,2470.1,3317.5,890.1,1077.2,10869.3,1552.3,1542.6,390.3,424.9,822.6,4401.7,404882,12521.8,1735.3,1313.1,29.6,724.8,23.9753700192296,44.8103504881105,2.14339794571488,0.13199418421564,27.6705371560278,1.26835020670155,4730,53,8,45,153,San Mateo ,24890
0.03,1.19,0.37,0.55,1.36,0,442996,6488298,3113717,1338.8,1496.9,3234.2,1822.8,1786.2,1193.8,663.8,5950.3,1148,274.6,366.7,416.4,544.9,1709.3,211793,6462.7,1482.3,734.7,21,557,42.7474591895077,49.8290568371431,2.22051084584777,0.30571405234478,4.79574334021773,0.101515734938915,3382,52,2,50,362568,Santa Barbara ,5088
0.06,1.37,0.67,0.55,1.49,0,1911226,41966594,18419986,3258.8,3551.9,19330.3,5567.1,6950.8,2414.4,2937.9,27920,3889.3,1581.2,791.3,1138.6,1880.7,10428.4,967294,31336.9,3519.4,2302.5,41.5,2126.1,26.7613961206476,35.1227810857167,2.49299290226319,0.165939229986195,35.0982388130464,0.35865184833991,9410,147,25,122,7544,Santa Clara ,73092
0.04,1.2,0.44,0.55,1.25,1,273263,3960458,2000776,739.2,773.1,2183.4,959.9,1081.1,561.1,414.9,3620,466.7,132.3,224.3,349.1,408.1,1418.6,133847,3799.7,806.9,580.2,13.3,344.7,31.5060301006678,63.4964616764677,0.799362105053324,0.16545400179408,3.97488288647463,0.0578092295425097,1780,12,0,12,428,Santa Cruz ,5420
0.03,1.96,0.38,0.55,1.91,0,178919,2384541,1299269,856.8,1144.4,1564.1,1025.6,1237.8,510.7,461.3,3911.4,384.6,25.6,115,94.8,269.6,980.6,72195,3512.3,786.1,491.6,10.3,323.9,9.63748512065794,84.0168812899037,1.11243371929445,2.46510117952603,2.69884211665404,0.0692565739638567,10369,9,3,6,448527,Shasta ,734
0.01,1.26,0.12,0.55,1.01,0,2885,44190,31750,12.3,10.6,30.2,18.3,17.5,19.4,14.6,66.5,11.4,0,3.4,0.7,18.1,29.6,1149,47.6,35.1,15.1,2.3,5.3,10.2851323828921,88.5947046843177,0.10183299389002,1.0183299389002,0,0,765,1,0,1,915,Sierra ,7
0.01,1.19,0.19,0.55,0.97,0,43530,569996,330196,308.3,415.9,442,281,279.8,255.1,142.7,1009,155.2,10.4,65.6,17,143.1,280.5,16544,867.5,326.1,203.6,3.1,159,15.4450261780105,78.2572924457741,1.30890052356021,3.28347045624533,1.42109199700823,0.284218399401645,4163,6,0,6,367914,Siskiyou ,98
0.04,1.31,0.48,0.55,1.37,1,434981,6957367,3001680,1138.4,1552.7,3028.3,1957.5,2275.8,1000.8,1137.2,7126.7,1293.6,314.9,150.7,133.5,381.3,2963,196309,7046,1739.4,603.2,11.2,809.4,27.1502255169026,41.3042022060465,15.1375429821819,0.247845308801858,15.3161702317689,0.844013754298218,6860,43,8,35,61067,Solano ,5139
0.04,1.34,0.46,0.55,1.29,0,500943,7325528,3865727,1048.7,1256.8,3833.3,1937.3,2178.1,1024.8,927,7386.9,1050.4,180.6,325.7,206.4,749.7,2513.3,249134,7431.4,1283.8,1165.1,19.4,581.7,25.3013564976552,69.024014100022,1.28096182293142,0.580157156495557,3.57116629423305,0.242344128662701,8280,64,2,62,197687,Sonoma ,9868
0.04,1.82,0.55,0.55,1.92,1,535684,5061927,2213548,1713.8,2206,2400.7,1700.1,2192.3,1477.1,1629.4,7484.5,1067.9,77.7,169.4,171.4,429.6,2592.5,219505,7514.3,1238.1,628.4,18.7,1155.7,46.7652455006116,44.8846758692993,2.52271535907741,0.443386335837847,4.86851301764809,0.515463917525773,7175,24,6,18,11283,Stanislaus ,2606
0.06,2.29,0.58,0.55,2.43,0,95583,1194482,539239,342.7,459.4,630.1,385.3,463.6,366.5,254.6,1654.9,256.7,15.2,42.3,26,105.2,559.9,38207,1593.4,351.3,145.8,9.4,213.5,31.247825870894,52.6611340257417,1.78899766436416,0.725537941658798,13.2286438403817,0.347860656959698,1695,1,0,1,2850,Sutter ,364
0.02,2.04,0.3,0.55,1.92,0,63247,483085,253917,221.9,300,265.7,243.3,256.5,155.8,179,889.1,106.3,2.8,34.2,14.7,53,259.5,23849,809.9,181.9,107.3,0.9,106.9,24.4509104561667,71.6726112258307,0.591327201051248,1.68950628871785,1.56748639008823,0.0281584381452975,960,2,0,2,51975,Tehama ,143
0.01,1.28,0.1,0.55,1.01,0,13037,171395,112669,110.5,134.4,151.5,131.5,106.4,58,52.3,343.4,49.6,0.2,25,8.2,73.4,97.9,4800,247.9,149.1,80.8,22.3,57.6,7.12340247223968,85.6274879530694,0.775193798449612,4.1692855646344,1.75989943431804,0.544730777288917,1565,3,0,3,481048,Trinity ,47
0.03,2.36,0.45,0.55,2.39,0,458809,3433906,1466595,2161,2700,1784.2,1429.8,1541.1,1823.4,1221.2,5963.6,1133,156.8,136.1,189.7,220.7,1750,173820,6122.5,1160,498.9,19.1,842.3,63.65473892859,31.1264409785614,1.52052579416827,0.727661572166293,2.80501799593135,0.165614730582651,4054,8,3,5,94255,Tulare ,1391
0.02,1.78,0.23,0.55,1.79,1,53899,537231,326768,141.8,151.7,335.9,259.9,207,109,88.2,798.3,79,7.3,28.8,19,67.6,283,20401,685.2,185.3,126.7,2.7,84.9,13.8813128938211,79.7987397724067,3.2916392363397,1.36367911219787,1.36367911219787,0.300949873036772,2162,9,0,9,299132,Tuolumne ,240
0.03,1.43,0.41,0.55,1.55,0,847834,14640566,6352805,1788.1,2240.7,6488.2,2940,4004.2,2040.9,1726.2,13452.4,1955,215.5,354.3,260.4,1061.6,4568.6,410179,13304.6,2365.6,1502.2,28.2,1128.2,41.5176341886846,49.5398225879331,1.72893528978097,0.324621275178958,6.72786510975291,0.16112154866941,2970,45,6,39,428304,Ventura ,13080
0.05,1.82,0.59,0.55,1.89,0,212605,2719439,1315067,822.2,632.1,1869.6,739.6,760,354.3,376,2705.6,459.8,164.4,138.1,420.1,212.5,939.9,95944,2702.4,1143.2,252.6,2.2,291.2,31.6391847603441,51.446640721016,2.24293322408849,0.258603031544449,14.0464973371569,0.366140925850061,1975,47,7,40,108681,Yolo ,2948
0.04,2.28,0.45,0.55,2.37,1,74644,662882,296670,299.5,390.8,398.7,278.8,335,210.4,177.1,1091.1,188.2,13.3,26.9,22.6,58.2,410.7,27832,955.3,311.6,128.1,5.1,165,28.9248694862677,59.5823560565938,3.27608383142922,1.01384580464553,6.79428009381857,0.408564727245214,1605,4,3,1,11910,Yuba ,289
